doc_name,entity_text,pages
Ley Prot Int Personas Ddh Y Periodistas Df 3.1.Pdf,Consejería Jurídica y de Servicios Legales,12
Ley Que Regula El Uso Dela Tecnologia Para La Seguridad Publica Del Df 2.3.Pdf,Consejería Jurídica y de Servicios Legales,4
Ley Que Regula El Uso Dela Tecnologia Para La Seguridad Publica Del Df 2.3.Pdf,Secretaría de Seguridad Ciudadana,"4, 15"
Ley Rec Derechos Personas Mayores Y Del Sistema Int Para Su Atn De La Cdmx 5.Pdf,Agencia Digital de Innovación Pública,2
Ley Rec Derechos Personas Mayores Y Del Sistema Int Para Su Atn De La Cdmx 5.Pdf,Fiscalía General de Justicia de la Ciudad de México,2
Ley Rec Derechos Personas Mayores Y Del Sistema Int Para Su Atn De La Cdmx 5.Pdf,Secretaría de Trabajo y Fomento al Empleo,"14, 38"
Ley Rec Derechos Personas Mayores Y Del Sistema Int Para Su Atn De La Cdmx 5.Pdf,Secretaría de Desarrollo Económico,"14, 37"
Ley Rec Derechos Personas Mayores Y Del Sistema Int Para Su Atn De La Cdmx 5.Pdf,"Secretaría de Educación, Ciencia, Tecnología e Innovación","17, 37"
Ley Rec Derechos Personas Mayores Y Del Sistema Int Para Su Atn De La Cdmx 5.Pdf,Secretaría de Cultura,"18, 37"
Ley Rec Derechos Personas Mayores Y Del Sistema Int Para Su Atn De La Cdmx 5.Pdf,Secretaría de Turismo,19
Ley Rec Derechos Personas Mayores Y Del Sistema Int Para Su Atn De La Cdmx 5.Pdf,Secretaría de Movilidad,22
Ley Rec Derechos Personas Mayores Y Del Sistema Int Para Su Atn De La Cdmx 5.Pdf,Secretaría de Administración y Finanzas,"36, 37"
Ley Rec Derechos Personas Mayores Y Del Sistema Int Para Su Atn De La Cdmx 5.Pdf,Secretaría de Gobierno,"37, 38"
Ley Rec Derechos Personas Mayores Y Del Sistema Int Para Su Atn De La Cdmx 5.Pdf,Secretaría de Desarrollo Urbano y Vivienda,37
Ley Rec Derechos Personas Mayores Y Del Sistema Int Para Su Atn De La Cdmx 5.Pdf,Secretaría de Gestión Integral de Riesgos y Protección Civil,38
Ley Rec Derechos Personas Mayores Y Del Sistema Int Para Su Atn De La Cdmx 5.Pdf,Consejería Jurídica y de Servicios Legales,"38, 44"
Ley Rec Derechos Personas Mayores Y Del Sistema Int Para Su Atn De La Cdmx 5.Pdf,Jefatura de Gobierno de la Ciudad de México,"44, 45, 46, 47"
Ley Registral Para La Cdmx 2.2.Pdf,Consejería Jurídica y de Servicios Legales,"2, 28"
Ley Registral Para La Cdmx 2.2.Pdf,Secretaría de Desarrollo Urbano y Vivienda,25
Ley Registral Para La Cdmx 2.2.Pdf,Contraloría General de la Ciudad de México,28
Ley Regula Funcionamiento De Los Caci Del Df 1.3.Pdf,Secretaría de Protección Civil,"3, 5, 6, 12"
Ley Regula Funcionamiento De Los Caci Del Df 1.3.Pdf,Secretaría de Salud de la Ciudad de México,3
Ley Regula Funcionamiento De Los Caci Del Df 1.3.Pdf,Secretaría de Administración y Finanzas,14
Ley Regula Funcionamiento De Los Caci Del Df 1.3.Pdf,Jefatura de Gobierno de la Ciudad de México,"16, 17"
Ley Regula Uso De La Fuerza Publica Df 1.1.Pdf,Secretaría de Gobierno,8
Presupuesto De Egresos 2024 1.1.Pdf,Secretaría de Administración y Finanzas,"1, 5, 6"
Presupuesto De Egresos 2024 1.1.Pdf,Contraloría General de la Ciudad de México,5
Presupuesto De Egresos 2024 1.1.Pdf,Secretaría de Gobierno,"6, 33"
Presupuesto De Egresos 2024 1.1.Pdf,Secretaría de Cultura,6
Presupuesto De Egresos 2024 1.1.Pdf,Secretaría de Desarrollo Económico,"6, 34"
Presupuesto De Egresos 2024 1.1.Pdf,Secretaría de Desarrollo Urbano y Vivienda,6
Presupuesto De Egresos 2024 1.1.Pdf,"Secretaría de Educación, Ciencia, Tecnología e Innovación",6
Presupuesto De Egresos 2024 1.1.Pdf,Secretaría de Gestión Integral de Riesgos y Protección Civil,6
Presupuesto De Egresos 2024 1.1.Pdf,Secretaría de las Mujeres,6
Presupuesto De Egresos 2024 1.1.Pdf,Secretaría de Movilidad,6
Presupuesto De Egresos 2024 1.1.Pdf,Secretaría de Obras y Servicios,6
Presupuesto De Egresos 2024 1.1.Pdf,Secretaría de Seguridad Ciudadana,6
Presupuesto De Egresos 2024 1.1.Pdf,Secretaría de Trabajo y Fomento al Empleo,6
Presupuesto De Egresos 2024 1.1.Pdf,Secretaría de Turismo,6
Presupuesto De Egresos 2024 1.1.Pdf,Secretaría del Medio Ambiente,"6, 33"
Presupuesto De Egresos 2024 1.1.Pdf,Consejería Jurídica y de Servicios Legales,6
Presupuesto De Egresos 2024 1.1.Pdf,Agencia de Atención Animal,6
Presupuesto De Egresos 2024 1.1.Pdf,Agencia Digital de Innovación Pública,"6, 33"
Presupuesto De Egresos 2024 1.1.Pdf,Comisión de Búsqueda de Personas de la Ciudad de México,7
Presupuesto De Egresos 2024 1.1.Pdf,Policía Auxiliar,"7, 10"
Presupuesto De Egresos 2024 1.1.Pdf,Policía Bancaria e Industrial,7
Presupuesto De Egresos 2024 1.1.Pdf,Metrobús,9
Presupuesto De Egresos 2024 1.1.Pdf,Universidad de la Salud,10
Presupuesto De Egresos 2024 1.1.Pdf,Jefatura de Gobierno de la Ciudad de México,34
